lhs,op,rhs,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,Domain,Model
Comp1,=~,Q5,1.05772030098422,0.07355185146905413,14.380607419913018,0,0.9135613211086344,1.2018792808598056,1.05772030098422,0.7266557313476747,Domain1,Sensitivity_OverlapRemoved
Comp1,=~,Q4,0.8830848805707598,0.060004082120891006,14.717080061179791,0,0.7654790406884298,1.00069072045309,0.8830848805707598,0.6619300557629904,Domain1,Sensitivity_OverlapRemoved
Comp1,=~,Q81,0.8109931590057096,0.065861959119033045,12.313529233771996,0,0.6819060911811554,0.9400802268302637,0.8109931590057096,0.6298874054144988,Domain1,Sensitivity_OverlapRemoved
Comp1,=~,Q82,1.2516070988639858,0.09852156748305715,12.703889420752729,0,1.0585083748967614,1.4447058228312102,1.2516070988639858,0.7812601332167568,Domain1,Sensitivity_OverlapRemoved
Comp1,=~,Q83,0.7689911787628851,0.05488024694665458,14.012166882382473,0,0.6614278712847779,0.8765544862409924,0.7689911787628851,0.6095914316847826,Domain1,Sensitivity_OverlapRemoved
Need1,=~,Q44,2.1152220978796494,0.18449151732474045,11.465145544640151,0,1.753625368470011,2.476818827289288,2.1468820260439196,0.9064868209632321,Domain1,Sensitivity_OverlapRemoved
Need1,=~,Q105,0.9273113855137481,0.06253039734544455,14.82976959815056,0,0.8047540587776979,1.0498687122497985,0.9411910683521153,0.6853703358176255,Domain1,Sensitivity_OverlapRemoved
Need1,=~,Q106,2.6219112407430663,0.32006924695589334,8.191699970176687,2.220446049250313e-16,1.9945870441506592,3.2492354373354733,2.6611551204369426,0.9360899371802723,Domain1,Sensitivity_OverlapRemoved
Need1,=~,Q107,1.6055759992576073,0.09829143371307245,16.334851762815124,0,1.4129283291911794,1.7982236693240352,1.629607717179677,0.8523195936109278,Domain1,Sensitivity_OverlapRemoved
Need1,=~,Q108,0.8049413117980792,0.05584615085191941,14.413550433089762,0,0.6954848674531263,0.914397756143032,0.8169894008065699,0.6326844910854723,Domain1,Sensitivity_OverlapRemoved
Comp2,=~,Q84,0.7754787167838587,0.06270647185857567,12.366805112761341,0,0.652576290343476,0.8983811432242415,0.7754787167838587,0.6128079815110022,Domain2,Sensitivity_OverlapRemoved
Comp2,=~,Q85,1.0287337398721423,0.08092875181274742,12.71159775517633,0,0.8701163010053768,1.1873511787389077,1.0287337398721423,0.7170498907180703,Domain2,Sensitivity_OverlapRemoved
Comp2,=~,Q86,0.8672075436274618,0.06804937325171208,12.743799129783218,0,0.7338332228835829,1.0005818643713407,0.8672075436274618,0.6551638592664024,Domain2,Sensitivity_OverlapRemoved
Comp2,=~,Q87,0.8249439186205684,0.06840533281659668,12.059643373599936,0,0.690871929949563,0.9590159072915737,0.8249439186205684,0.6363572135005401,Domain2,Sensitivity_OverlapRemoved
Comp2,=~,Q88,0.701587600671036,0.05901118474046439,11.889061433975115,0,0.5859278038946862,0.8172473974473857,0.701587600671036,0.5743342629925589,Domain2,Sensitivity_OverlapRemoved
Need2,=~,Q109,1.2608856690974142,0.07403697545894063,17.030485933297953,0,1.1157758636736148,1.4059954745212135,1.2878307939937035,0.7898412424712188,Domain2,Sensitivity_OverlapRemoved
Need2,=~,Q110,2.4288349032985583,0.2097132285382627,11.58169620594731,0,2.017804528281946,2.8398652783151705,2.4807391016139335,0.9274801124377239,Domain2,Sensitivity_OverlapRemoved
Need2,=~,Q113,1.8986167553082676,0.1181949052066743,16.063439891832623,0,1.6669589979470603,2.130274512669475,1.9391901925800148,0.8887835535258972,Domain2,Sensitivity_OverlapRemoved
Need2,=~,Q114,1.470503305338253,0.08317869491901295,17.67884560788085,0,1.3074760590159429,1.6335305516605632,1.5019279588130672,0.8323789137877173,Domain2,Sensitivity_OverlapRemoved
Need2,=~,Q116,1.0956790735521966,0.0667774090057886,16.40793031453523,0,0.9647977569199504,1.2265603901844429,1.1190937337443838,0.7456697431326487,Domain2,Sensitivity_OverlapRemoved
Comp4,=~,Q91,1.0201212681847478,0.08204122037613502,12.434252726955911,0,0.8593234309998096,1.1809191053696861,1.0201212681847478,0.7141144430799644,Domain4,Sensitivity_OverlapRemoved
Comp4,=~,Q92,1.432302276365481,0.15441623820505787,9.275593635841895,0,1.1296520108554096,1.7349525418755523,1.432302276365481,0.8199336686696201,Domain4,Sensitivity_OverlapRemoved
Comp4,=~,Q93,1.0725811105212404,0.09061620840024488,11.836526041607605,0,0.8949766056411845,1.2501856154012962,1.0725811105212404,0.7314210669591888,Domain4,Sensitivity_OverlapRemoved
Need4,=~,Q117,1.122915496929395,0.07856308766960805,14.293169098085134,0,0.9689346745827006,1.2768963192760896,1.1601835453426494,0.7574610477664686,Domain4,Sensitivity_OverlapRemoved
Need4,=~,Q118,1.8845671068843939,0.1392682772039825,13.531919434345548,0,1.6116062993756477,2.1575279143931403,1.9471133433282306,0.8895426999276637,Domain4,Sensitivity_OverlapRemoved
Need4,=~,Q121,1.3005268874105786,0.08387122231942085,15.506235052323,0,1.136142312325162,1.4649114624959954,1.3436896179413196,0.8022203721579786,Domain4,Sensitivity_OverlapRemoved
Need4,=~,Q119,1.3854047501614544,0.0912188388885392,15.187704283917581,0,1.206619111228356,1.5641903890945528,1.4313844622966552,0.8197613757155029,Domain4,Sensitivity_OverlapRemoved
